Wake-up Time (Hour),Exercise,Meditation,Breakfast,Screen Time Before Work (min),Productivity Score
6.37,Yes,Yes,No,114.1,7.2
5.28,No,Yes,Yes,7.0,9.6
8.04,Yes,Yes,No,2.5,8.8
5.41,No,Yes,Yes,22.0,9.0
6.66,No,Yes,No,34.9,7.5
5.96,No,No,No,44.0,7.0
8.43,No,Yes,Yes,24.0,7.6
4.73,Yes,No,Yes,72.9,7.6
9.24,Yes,Yes,Yes,115.9,5.3
7.92,Yes,Yes,Yes,52.8,7.5
9.05,Yes,Yes,No,31.1,6.9
7.23,No,No,No,22.2,6.5
8.38,Yes,No,Yes,112.7,6.2
9.11,No,No,No,10.6,4.8
4.73,Yes,No,No,39.0,8.2
8.64,No,No,Yes,42.8,4.7
7.21,No,Yes,No,16.9,6.8
9.43,Yes,No,No,92.7,4.0
8.58,Yes,No,Yes,84.8,5.7
4.87,No,No,Yes,43.0,7.2
8.82,No,No,Yes,74.8,4.1
4.82,No,Yes,Yes,37.3,8.9
7.69,Yes,Yes,Yes,106.5,7.1
8.3,No,Yes,No,67.4,6.2
7.11,Yes,Yes,Yes,51.3,7.3
7.68,Yes,Yes,No,37.7,7.9
6.55,No,No,No,90.7,5.3
4.88,Yes,Yes,No,34.8,9.8
7.67,No,Yes,No,104.6,5.1
8.96,Yes,No,No,64.7,5.8
6.09,No,Yes,Yes,13.2,8.5
8.59,Yes,Yes,No,103.3,5.1
5.61,No,Yes,Yes,14.4,9.6
6.12,Yes,No,Yes,62.3,7.9
9.36,No,Yes,No,115.5,3.8
6.0,Yes,No,Yes,34.2,8.9
7.01,No,Yes,No,6.2,7.7
5.7,Yes,Yes,No,17.4,9.8
7.86,Yes,No,Yes,91.4,6.4
6.34,No,Yes,Yes,75.9,7.5
4.95,Yes,Yes,Yes,100.2,8.0
7.45,Yes,No,No,81.3,5.8
5.63,No,Yes,Yes,77.4,7.9
6.43,No,No,Yes,112.4,5.3
6.21,Yes,Yes,No,13.6,9.6
7.8,Yes,No,Yes,98.1,6.3
5.71,No,No,No,11.2,8.2
9.0,No,No,Yes,76.0,4.1
6.25,No,Yes,No,87.1,7.2
8.4,Yes,Yes,Yes,77.0,7.7
7.53,Yes,Yes,No,1.1,8.1
5.3,Yes,Yes,Yes,65.8,9.3
8.06,No,Yes,Yes,28.5,7.6
7.75,Yes,No,Yes,101.9,6.3
4.97,No,No,No,44.1,6.8
5.72,No,Yes,Yes,116.8,7.4
7.66,No,Yes,Yes,95.4,6.1
6.96,Yes,No,Yes,23.4,8.7
4.62,No,Yes,Yes,77.5,8.2
9.27,No,Yes,No,109.8,3.5
9.14,Yes,No,Yes,51.4,6.7
8.77,Yes,No,Yes,35.3,6.6
6.08,Yes,Yes,Yes,20.3,10.0
7.35,Yes,Yes,No,11.7,8.4
7.09,Yes,No,Yes,105.3,6.4
8.01,No,No,Yes,43.1,5.9
8.55,No,No,No,97.2,3.6
9.07,No,No,No,61.4,4.0
8.49,Yes,No,No,78.0,6.5
8.95,Yes,No,No,40.6,5.2
7.39,No,No,No,4.3,6.4
7.21,Yes,Yes,Yes,34.4,7.9
8.61,No,Yes,No,43.2,5.3
8.35,No,No,Yes,25.9,6.6
4.93,Yes,Yes,Yes,6.2,10.0
8.13,Yes,No,Yes,117.1,5.6
8.48,Yes,No,No,32.5,6.6
4.63,No,Yes,Yes,115.5,7.4
6.54,Yes,No,No,20.8,7.9
7.25,Yes,No,No,85.8,5.8
9.27,No,Yes,No,88.5,4.6
6.6,Yes,Yes,No,29.7,8.7
5.08,Yes,No,Yes,5.5,9.8
8.02,Yes,Yes,No,56.9,7.3
5.37,No,Yes,No,52.1,8.0
7.68,No,No,Yes,5.4,6.8
7.63,No,Yes,No,60.4,6.5
5.31,No,No,Yes,8.5,8.5
4.63,No,No,Yes,70.3,7.5
7.38,Yes,No,No,46.6,6.8
7.23,No,Yes,Yes,113.0,6.1
9.03,No,No,No,23.5,4.4
5.0,Yes,Yes,No,2.2,9.6
6.09,No,Yes,No,101.4,6.5
5.91,No,Yes,Yes,14.2,9.4
8.89,Yes,Yes,No,88.2,5.5
8.25,Yes,Yes,No,96.8,6.8
8.38,Yes,No,Yes,40.9,8.0
6.64,No,Yes,Yes,90.1,6.8
9.01,Yes,Yes,No,60.6,6.8
6.45,Yes,Yes,No,1.3,9.6
9.25,Yes,No,Yes,114.1,4.8
6.74,No,Yes,No,35.2,7.9
8.26,Yes,No,Yes,95.0,6.0
6.97,No,No,Yes,6.9,7.9
6.71,No,Yes,No,106.5,5.8
5.21,Yes,No,No,91.4,7.0
4.92,Yes,No,No,84.1,7.6
8.03,Yes,No,Yes,9.8,8.3
6.37,Yes,No,No,44.5,8.4
9.43,No,Yes,Yes,90.4,4.5
8.39,Yes,Yes,Yes,67.0,7.6
6.96,No,No,No,1.4,7.4
4.78,No,Yes,No,14.3,8.7
8.23,No,Yes,Yes,70.0,6.6
5.93,No,No,No,104.2,5.6
9.32,No,No,Yes,1.5,6.2
4.72,Yes,No,Yes,106.9,8.0
4.87,Yes,No,Yes,66.5,8.6
7.65,Yes,Yes,Yes,83.5,7.6
9.01,Yes,No,Yes,5.5,7.3
8.95,No,No,Yes,54.7,4.8
5.89,No,No,No,22.6,7.5
6.27,Yes,Yes,Yes,70.0,9.3
7.99,No,Yes,No,64.3,6.4
7.92,Yes,No,No,19.5,7.9
9.25,Yes,No,Yes,87.1,5.2
9.16,No,No,Yes,103.9,3.2
4.63,No,No,Yes,45.2,7.9
9.44,No,Yes,No,18.1,5.8
9.35,No,No,No,101.1,3.5
6.84,No,Yes,No,49.8,6.9
8.82,No,Yes,No,97.5,5.0
7.28,No,No,Yes,92.3,5.5
8.75,Yes,No,No,29.7,5.5
9.27,Yes,Yes,No,72.7,6.1
6.29,Yes,No,Yes,13.6,9.1
8.36,No,No,No,62.4,5.6
7.26,Yes,No,Yes,67.3,6.9
5.17,Yes,No,No,3.5,9.4
8.02,No,Yes,Yes,25.6,6.8
6.25,No,No,Yes,70.8,6.4
6.69,No,Yes,Yes,108.5,6.7
8.42,No,Yes,Yes,47.6,7.4
9.25,No,Yes,Yes,17.6,6.6
5.79,Yes,No,Yes,55.1,8.8
6.14,Yes,No,No,76.0,6.6
5.14,No,Yes,Yes,15.4,8.7
7.7,Yes,Yes,No,21.8,8.4
7.84,Yes,Yes,Yes,20.7,8.2
5.89,No,No,Yes,21.2,7.6
5.1,Yes,No,Yes,55.3,8.3
7.02,Yes,Yes,Yes,82.8,7.5
4.91,Yes,Yes,Yes,104.8,8.4
8.53,Yes,Yes,No,89.8,5.3
6.92,Yes,Yes,No,74.2,8.4
4.68,Yes,No,Yes,30.3,9.6
7.06,Yes,Yes,No,63.9,7.2
5.71,Yes,No,Yes,32.3,8.5
6.11,No,No,Yes,25.4,7.3
5.1,Yes,Yes,No,106.9,8.4
6.99,Yes,Yes,No,10.4,9.8
6.66,Yes,No,Yes,15.3,8.7
7.73,Yes,No,Yes,68.5,7.2
7.53,Yes,No,Yes,28.5,7.1
5.73,No,No,Yes,19.3,7.8
5.93,Yes,Yes,No,20.8,9.9
6.55,Yes,No,No,117.9,6.0
9.35,Yes,Yes,Yes,103.9,5.6
7.84,Yes,No,No,111.5,5.5
5.9,No,Yes,Yes,92.3,7.3
6.63,No,Yes,Yes,60.9,7.2
7.55,Yes,Yes,Yes,34.6,8.4
7.16,No,No,Yes,6.2,6.7
5.17,Yes,Yes,No,7.6,10.0
5.77,No,Yes,Yes,81.8,8.0
6.86,No,No,No,49.4,6.3
9.15,No,Yes,Yes,99.7,4.5
8.15,No,Yes,No,112.6,4.6
8.21,Yes,No,Yes,68.9,6.6
8.48,Yes,Yes,No,24.2,8.3
7.83,No,Yes,No,62.8,6.5
6.46,Yes,No,Yes,98.0,7.1
6.81,Yes,Yes,No,36.2,8.9
9.0,No,No,Yes,46.1,4.9
9.03,No,No,No,74.9,3.4
9.2,Yes,Yes,No,75.3,6.0
7.6,Yes,Yes,No,64.0,7.4
6.06,Yes,Yes,No,29.8,9.1
8.31,Yes,No,Yes,105.2,6.3
5.05,No,Yes,Yes,101.6,7.1
8.49,Yes,Yes,Yes,18.0,9.0
7.71,No,Yes,Yes,83.3,6.0
6.23,Yes,No,Yes,21.8,9.1
6.5,No,Yes,Yes,55.4,7.7
7.43,Yes,No,Yes,60.7,6.6
8.86,No,Yes,No,111.9,4.2
9.11,No,Yes,Yes,84.9,5.0
7.53,Yes,No,Yes,50.9,7.7
9.13,No,No,No,54.1,3.8
9.42,No,No,Yes,100.7,3.3
9.1,No,Yes,No,104.4,4.2
6.5,Yes,No,No,6.6,8.8
4.52,Yes,Yes,No,40.0,9.8
6.23,No,No,Yes,41.6,7.4
6.76,Yes,No,Yes,27.0,8.3
5.38,No,Yes,Yes,59.8,8.6
6.31,Yes,Yes,No,69.7,8.3
5.39,Yes,No,Yes,115.3,7.1
4.93,No,No,No,119.6,5.5
7.48,Yes,No,Yes,8.0,7.9
8.99,No,Yes,No,24.6,5.2
6.86,Yes,No,No,67.8,7.4
6.77,Yes,Yes,No,62.9,8.4
5.28,Yes,Yes,Yes,21.8,10.0
5.85,Yes,No,No,77.3,7.1
5.28,No,No,Yes,85.9,6.9
4.64,Yes,Yes,Yes,26.6,9.6
5.02,Yes,No,No,96.0,7.2
5.69,Yes,No,No,11.9,9.1
8.78,No,Yes,No,99.6,4.4
5.52,No,No,Yes,35.2,8.2
4.57,Yes,Yes,No,10.3,9.4
7.42,No,No,No,50.6,5.8
8.59,Yes,Yes,Yes,41.0,7.1
5.84,Yes,No,Yes,74.9,8.2
6.68,Yes,No,No,35.3,8.5
5.2,No,Yes,Yes,104.2,7.7
8.5,No,Yes,No,51.0,4.8
7.21,Yes,Yes,No,76.0,7.2
9.42,No,No,No,63.1,3.7
5.86,Yes,No,No,2.2,9.0
7.38,Yes,Yes,No,32.9,8.5
5.53,Yes,No,Yes,1.3,9.9
8.87,No,No,Yes,71.7,4.4
7.83,Yes,Yes,Yes,21.0,8.9
7.09,Yes,No,No,5.6,7.7
4.91,Yes,Yes,Yes,72.4,8.9
6.28,Yes,Yes,Yes,86.3,8.4
7.82,Yes,Yes,No,112.4,5.9
5.81,Yes,Yes,No,71.4,8.6
6.17,Yes,No,Yes,92.5,6.7
8.14,No,No,No,59.5,5.4
6.67,Yes,Yes,Yes,29.6,10.0
5.86,Yes,No,Yes,70.8,7.8
9.09,No,No,No,16.4,5.4
6.73,No,Yes,No,22.2,8.4
8.16,Yes,No,No,96.8,6.0
8.75,No,Yes,No,30.0,5.4
9.44,Yes,No,Yes,113.3,4.7
9.13,Yes,Yes,No,21.7,6.8
7.99,Yes,No,Yes,35.7,8.2
9.22,Yes,Yes,Yes,56.9,7.0
8.64,Yes,Yes,Yes,4.4,7.5
4.88,No,No,No,83.6,6.1
8.12,Yes,No,Yes,7.8,8.0
8.45,Yes,Yes,No,38.3,8.3
5.66,Yes,Yes,Yes,2.9,10.0
7.14,Yes,Yes,Yes,112.7,7.1
8.34,No,Yes,No,48.2,6.6
8.87,Yes,Yes,Yes,118.1,5.6
8.19,No,Yes,Yes,28.7,7.1
5.94,Yes,Yes,No,35.6,8.7
9.44,No,Yes,No,51.3,5.4
5.59,Yes,Yes,Yes,114.0,8.3
8.9,No,Yes,No,113.4,4.0
5.34,No,Yes,Yes,118.9,7.4
7.75,Yes,Yes,Yes,72.9,7.3
5.6,No,Yes,No,22.4,8.5
4.79,Yes,No,Yes,116.3,7.9
9.47,No,Yes,Yes,20.9,6.6
7.98,Yes,Yes,No,18.5,8.1
7.18,Yes,Yes,Yes,71.2,8.0
5.83,No,Yes,No,15.5,9.3
8.81,No,Yes,No,97.1,4.4
4.93,Yes,No,Yes,49.0,8.4
8.12,No,No,Yes,59.5,5.3
5.6,Yes,Yes,No,82.0,8.5
6.9,Yes,Yes,No,71.1,8.5
7.33,No,No,Yes,32.0,6.7
8.49,No,Yes,No,79.0,6.4
8.04,Yes,Yes,No,100.4,6.9
8.26,Yes,No,Yes,19.0,8.4
4.65,Yes,Yes,No,99.1,8.2
5.3,Yes,Yes,No,98.2,7.9
5.94,No,Yes,No,74.0,7.8
5.8,No,Yes,Yes,76.1,8.2
5.03,Yes,No,No,91.3,7.8
6.21,No,No,Yes,75.9,6.9
5.01,No,Yes,No,112.5,6.3
6.0,Yes,No,Yes,85.0,7.8
6.23,No,Yes,No,74.5,7.1
9.37,No,No,Yes,116.3,3.6
5.15,Yes,No,Yes,91.0,7.1
